latitude,longitude
48.62,-122.24039465547112
48.62,-122.22039465547113
48.62,-122.20039465547113
48.62,-122.18039465547113
48.62,-122.16039465547114
48.62,-122.14039465547114
48.62,-122.12039465547115
48.62,-122.10039465547115
48.62,-122.08039465547115
48.62,-122.06039465547116
48.62,-122.04039465547116
48.62,-122.02039465547116
48.62,-122.00039465547117
48.62,-121.98039465547117
48.62,-121.96039465547118
48.62,-121.94039465547118
48.62,-121.92039465547118
48.62,-121.90039465547119
48.62,-121.88039465547119
48.62,-121.8603946554712
48.62,-121.8403946554712
48.62,-121.8203946554712
48.62,-121.80039465547121
48.62,-121.78039465547121
48.62,-121.76039465547122
48.62,-121.74039465547122
48.62,-121.72039465547122
48.62,-121.70039465547123
48.62,-121.68039465547123
48.62,-121.66039465547124
48.62,-121.64039465547124
48.62,-121.62039465547124
48.62,-121.60039465547125
48.62,-121.58039465547125
48.62,-121.56039465547126
48.62,-121.54039465547126
48.62,-121.52039465547126
48.62,-121.50039465547127
48.62,-121.48039465547127
48.62,-121.46039465547128
48.62,-121.44039465547128
48.62,-121.42039465547128
48.62,-121.40039465547129
48.62,-121.38039465547129
48.62,-121.3603946554713
48.62,-121.3403946554713
48.62,-121.3203946554713
48.62,-121.30039465547131
48.62,-121.28039465547131
48.62,-121.26039465547132
48.62,-121.24039465547132
48.62,-121.22039465547132
48.62,-121.20039465547133
48.62,-121.18039465547133
48.62,-121.16039465547134
48.62,-121.14039465547134
48.62,-121.12039465547134
48.6,-123.68039465547083
48.6,-123.66039465547084
48.6,-123.64039465547084
48.6,-123.62039465547085
48.6,-123.60039465547085
48.6,-123.58039465547085
48.6,-123.56039465547086
48.6,-123.54039465547086
48.6,-123.52039465547087
48.6,-123.50039465547087
48.6,-123.48039465547087
48.6,-123.46039465547088
48.6,-123.44039465547088
48.6,-123.42039465547089
48.6,-123.40039465547089
48.6,-123.38039465547089
48.6,-123.3603946554709
48.6,-123.3403946554709
48.6,-123.32039465547091
48.6,-123.30039465547091
48.6,-123.28039465547091
48.6,-123.26039465547092
48.6,-123.24039465547092
48.6,-123.22039465547093
48.6,-123.20039465547093
48.6,-123.18039465547093
48.6,-123.16039465547094
48.6,-123.14039465547094
48.6,-123.12039465547095
48.6,-123.10039465547095
48.6,-123.08039465547095
48.6,-123.06039465547096
48.6,-123.04039465547096
48.6,-123.02039465547097
48.6,-123.00039465547097
48.6,-122.98039465547097
